,상품코드,상품,ABC,단품가로(mm),단품세로(mm),단품높이(mm),중량(g)
1446,0159-006,모카 일반 스티커,C,88,93,56,187
1447,80311010,중급한자2,C,88,88,77,114
1448,802980111154,히말라야 핑크솔트 300g,B,49,23,40,9
1449,IN-MS-001,인소의 법칙 문구세트 _함단이,B,57,91,54,198
1450,8809733530059,칠십이스퀘어핸드세니타이저겔(에탄올)-300ml,A,59,97,11,192
1451,O0FPAC12008XXX,금속체인 토트 스트랩_GOLD,C,24,78,9,108
1452,O1SBCB24009XXX,엘프나 크로스바디 BLACK XXX,A,54,97,16,43
1453,O0FPAC11002XXX,금속체인 토트 스트랩,A,92,61,43,78
1454,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,C,43,22,82,133
1455,A0002,아큐민 수용성 커큐민 정제 3개월,B,51,96,76,93
1456,5285001952168,Elegance Hair Serum Aloe Vera 300ml,C,85,35,55,232
1457,WP_60ml_5,물감5색60ml,C,66,2,36,45
1458,GNGHRTR002-V01,헤어 트리트먼트 머쉬룸 브라운,A,84,46,1,87
1459,0214-30,더퓨어로터스 쇼핑백,C,13,44,89,268
1460,8809563706105,KMC크린에이디비말마스크(50매),A,40,22,52,141
1461,0137-99,철제바구니,A,47,52,64,232
1462,8809990414802,웨이브백 M 아이보리,B,4,75,25,241
1463,8809823070250,루트백팩 피넛,B,39,89,18,138
1464,8809744190068,귀편한 비말차단 마스크,B,94,58,98,203
1465,O1FBSP63009XXX,램지L LG 쇼퍼 BLACK,A,5,32,36,117
1466,O1SBCB66009XXX,케시 크로스바디 - BLACK,A,41,59,19,93
1467,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,83,87,34,284
1468,O0FPAC23004XXX,마이크로 로티CREAMXXX,A,72,44,4,42
1469,O0FBCB43009XXX,루키크로스바디 BLACK,A,43,29,82,167
1470,7118409000156,서클약속카드,A,54,55,4,277
1471,s0030,사노그래프 린앤컷 마이 애사비 구미,A,6,47,40,80
1472,s0030,사노그래프 린앤컷 마이 애사비 구미,B,33,71,90,46
1473,O0FPAC11002XXX,금속체인 토트 스트랩,B,83,65,2,128
1474,CMZ110489,고양이 윈도우 해먹4,A,50,42,84,66
1475,8809653770986,(10매)에어퀸 KF94 방역마스크 엠 고무줄묶음피킹,B,21,94,52,91
1476,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",A,66,90,43,140
1477,7118409000040,평화형성질문카드,C,9,49,1,148
1478,O0FBBP06009XXX,엘리백팩BLACK,C,89,42,85,151
1479,802980111116,히말라야 핑크솔트,B,80,85,52,58
1480,COLOR_FA,색칠북_동물,B,34,48,39,122
1481,8809393501017,프루낵 화이트 초코 20개입,B,45,68,17,274
1482,8809990340262,젖병세정제,B,85,65,52,94
1483,7118409000019,토킹피스 벌새,A,21,81,19,161
1484,8809668703849,비타민C 포뮬러 7포,C,4,56,43,234
1485,7118409000012,이음카드[그림편],C,55,64,48,254
1486,O1FBBC37009XXX,리즈 버킷 BLACK,C,62,31,76,248
1487,O0FBCB43004XXX,루키크로스바디 CREAM,C,62,10,88,9
1488,O1SBCB35009XXX,바히아 크로스바디_BLACK,C,31,33,72,280
1489,O7SSSS01009235,헤리티지 스니커즈 BLACK 235,A,12,82,50,73
1490,O2SBCB01048XXX,레아 크로스바디+CLOUD,C,41,43,74,192
1491,O0FBCB43150XXX,루키 크로스바디-SPACE BLUE,C,38,40,23,117
1492,O9SBCB21009XXX,다이너 크로스바디 BLACK XXX,A,7,71,74,3
1493,O1SBCB24130XXX,엘프나 크로스바디 VANILLA CREAM XXX,B,44,79,7,112
1494,O8FBCB21009XXX,제라드 크로스바디 BLACK XXX,B,72,28,39,164
1495,O1FBSD65130XXX,제너 숄더 VANILLA CREAM,C,61,14,87,77
1496,O0FBCB43004XXX,루키크로스바디 CREAM,C,28,50,90,299
1497,O1FSSS51003235,Alley Sneakers IVORY,C,21,79,22,265
1498,O7SSSS01009235,헤리티지 스니커즈 BLACK 235,C,18,5,69,122
1499,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,21,80,81,54
1500,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,12,88,39,134
1501,O1SBSD10009XXX,미나 숄더 BLACK XXX,A,87,73,21,118
1502,O7FBBP84009XXX,로이스 백팩 N BLACK XXX,A,62,54,75,73
1503,O1SBCB24140XXX,엘프나 크로스바디 PECAN BROWN,B,85,77,88,185
1504,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,C,81,46,94,256
1505,O2SBSD02009XXX,레아 숄더_BLACK,A,89,26,29,256
1506,5285001951833,Elegance Plus Shaving Gel 500ml,A,21,44,23,209
1507,10013020002,[2차 리오더] [TA221JK04P] snow white classic jacket-navy-1,C,73,30,88,90
1508,80311010,중급한자2,C,96,34,93,246
1509,O1FBCB37048XXX,리사 크로스바디 CLOUD XXX,C,65,36,37,287
1510,O1FBBC27139XXX,카일리 버킷 FOSSIL TAUPE,A,91,17,90,284
1511,O1FBBC27139XXX,카일리 버킷 FOSSIL TAUPE,B,3,72,83,48
1512,O1FBTT03144XXX,테일러 미니 토트 BOTTLE GREEN,A,18,70,77,11
1513,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,A,51,96,20,269
1514,8809990340217,섬유유연제(다목적용),B,65,64,37,143
1515,8809738315583,유스바이오틱스 연꽃 발효 컨센트레이트 크림,A,24,50,89,298
1516,8809738315583,유스바이오틱스 연꽃 발효 컨센트레이트 크림,C,86,33,1,285
1517,8809356270127,어랑어랑 로션,A,30,93,70,106
1518,O0SBBC47009XXX,모르간 버킷 BLACK XXX,B,77,82,57,181
1519,O1SBSD10009XXX,미나 숄더 BLACK XXX,B,54,2,38,22
1520,O1FBSP63009XXX,램지L LG 쇼퍼 BLACK,A,73,97,93,74
1521,O2SPLP16130XXX,맨디 2단 장지갑+VANILLA CREAM,C,62,53,59,121
1522,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,A,89,37,78,176
1523,O0FBCB43048XXX,루키크로스바디 CLOUD,B,23,89,71,63
1524,O1FBBC27017XXX,카일리 버킷 LAVA RED,C,93,30,55,29
1525,O0FBCB43048XXX,루키크로스바디 CLOUD,A,83,67,51,263
1526,O0FPAC11008XXX,금속체인 토트 스트랩 GOLDXXX,A,37,32,19,86
1527,O1SBBP07009XXX,엘리미니백팩 BLACK,A,67,75,26,238
1528,O0FPAC11008XXX,금속체인 토트 스트랩 GOLDXXX,A,85,20,95,299
1529,8809744190112,(1매)구디즈 KF94 마스크(화이트/흰색),C,84,84,65,129
1530,Logo Hoody grey-S,로고 후드-그레이 컬러,B,44,27,27,179
1531,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,28,41,46,255
1532,O0FBBP06009XXX,엘리백팩BLACK,B,29,33,11,19
1533,O0FBCB43048XXX,루키크로스바디 CLOUD,C,45,93,79,166
1534,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,B,48,52,99,256
1535,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,30,41,30,274
1536,O0FPAC11008XXX,금속체인 토트 스트랩 GOLDXXX,B,25,9,50,224
1537,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,A,31,10,98,170
1538,7118409000040,평화형성질문카드,B,4,18,67,209
1539,8809990325115,까미모 헤어로스 프로페셔널 워터 트리트먼트,B,6,78,29,111
1540,0137-99,철제바구니,A,74,71,80,121
1541,SPIN_P,스핀아트_종이,C,78,86,59,196
1542,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),B,14,1,80,89
1543,O2SBTT58009XXX,델라 토트_BLACK,C,37,41,8,210
1544,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,50,47,99,46
1545,O1FBTT43009XXX,아멜리아 토트 BLACK,B,75,61,78,252
1546,O1FPCC18130XXX,티라 카드케이스 VANILLA CREAM,A,91,80,82,26
1547,O6FBCB90009XXX,틴턴 BLACK XXX,B,30,31,4,183
1548,O2SPLP16130XXX,맨디 2단 장지갑+VANILLA CREAM,B,58,84,81,236
1549,O0SPAC12126XXX,야니랩 CARROT XXX,B,23,50,69,57
1550,O0SPAC12126XXX,야니랩 CARROT XXX,A,99,69,24,141
1551,O0FBCB43048XXX,루키크로스바디 CLOUD,C,1,64,81,292
1552,5285001951833,Elegance Plus Shaving Gel 500ml,B,25,6,87,250
1553,O1FBCB20146XXX,엘레나 크로스바디 STONE GREY,B,22,52,54,150
1554,O1FBCB20146XXX,엘레나 크로스바디 STONE GREY,C,87,5,81,153
1555,O8FBCB21009XXX,제라드 크로스바디 BLACK XXX,B,43,25,81,37
1556,O1FBBC27139XXX,카일리 버킷 FOSSIL TAUPE,B,91,94,52,172
1557,O1FBCB37048XXX,리사 크로스바디 CLOUD XXX,C,22,66,62,23
1558,O1FBCB37048XXX,리사 크로스바디 CLOUD XXX,C,53,36,16,144
1559,80311010,중급한자2,A,98,62,6,252
1560,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,A,7,36,70,101
1561,O2SBTT13048XXX,아미 토트_CLOUD,A,90,74,43,257
1562,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,C,77,4,44,19
1563,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,A,67,68,86,251
1564,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,A,20,48,14,217
1565,A0001,아큐민 수용성 커큐민 정제 1개월,A,40,9,7,294
1566,80311010,중급한자2,C,56,81,13,76
1567,s0018,사노핏애플사이다비니거 1L병,B,55,32,24,226
1568,O1FBCB20146XXX,엘레나 크로스바디 STONE GREY,C,2,5,90,164
1569,O0FPAC11008XXX,금속체인 토트 스트랩 GOLDXXX,A,87,93,72,138
1570,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",C,19,42,41,182
1571,8809793590055,트랩워터 모어라이크 에센스 앤드 쿨리,A,27,22,98,44
1572,CMZ110571,조개빗브라운,A,53,91,50,158
1573,8809990340262,젖병세정제,B,3,60,34,133
1574,8809375786487,십일장생 프로젝트(박스),C,82,15,59,247
1575,O0FBCB43009XXX,루키크로스바디 BLACK,A,39,63,52,152
1576,8809990414840,핸들 스트랩 노트북 파우치 M 피넛,B,49,31,39,231
1577,HLW-TNMP7A.AIEG0B1,"""Charge Ai 무선충전기
(이로채 BRAND)
""",B,39,78,11,85
1578,8809079203402,더퓨어로터스 제주 연꽃잎 리바이탈라이징 크림,B,38,86,96,109
1579,0159-006,모카 일반 스티커,B,51,12,8,174
1580,O0FBCB43048XXX,루키크로스바디 CLOUD,C,8,93,75,144
1581,O1FBCB01009XXX,캐리 크로스바디 BLACK,B,11,91,74,278
1582,8809563706105,KMC크린에이디비말마스크(50매),A,5,50,85,158
1583,GNGHRSP001-V01,고잉그레이 샴푸 하이 컬러,C,67,67,58,51
1584,0137-99,철제바구니,C,26,9,36,222
1585,CMZ110489,고양이 윈도우 해먹4,C,83,63,17,233
1586,NKPM6S537B0M130,"KA207PBI, M, 130",A,69,8,28,206
1587,9BDSKIT2,그란디디에 다즐링홍차 설탕클렌징세럼 30ML,C,99,21,41,92
1588,2111DK000,옛새 디스커버리 키트(샘플),A,41,49,57,13
1589,Short Pants M-grey-M,반바지-그레이 컬러,A,81,48,98,162
1590,8809563706105,KMC크린에이디비말마스크(50매),B,98,86,30,206
1591,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",A,36,64,40,64
1592,BL2102,버튼립스틱 04.젤러시오렌지,B,60,21,79,14
1593,2101VF011,옛새 벨벳포레스트 오 드 퍼퓸 11ML,B,96,17,74,144
1594,8809563706105,KMC크린에이디비말마스크(50매),B,16,19,28,129
1595,8809563706105,KMC크린에이디비말마스크(50매),C,84,50,29,245
1596,Ballon Ball Cap (white),Ballon Ball Cap (white),A,68,89,56,51
1597,4100014111000,뚜레쥬르 파우더수납장,A,36,23,79,87
1598,8809990340255,섬유유연제(유아용),C,63,30,78,237
1599,2101VF050,옛새 벨벳포레스트 오 드 퍼퓸 50ML,B,82,55,67,189
1600,O2SPCC20130XXX,리아 카드케이스+VANILLA CREAM,C,66,10,23,272
1601,O0FBCB43118XXX,루키크로스바디 TOFFEE TAN,C,74,90,28,63
1602,O0FBCB43004XXX,루키크로스바디 CREAM,B,62,42,84,245
1603,O0FBCB43004XXX,루키크로스바디 CREAM,B,58,91,26,190
1604,0137-99,철제바구니,B,76,57,75,6
1605,8809079208490,더퓨어로터스 제주 보태니컬 아이크림,B,94,50,28,221
1606,Short Pants Black-M,반바지-블랙 컬러,B,30,46,43,280
1607,UG-ID-001,녹색전상 증명사진세트 vol.1,A,34,60,57,14
1608,O1FBTT14009XXX,사나 미니 토트+BLACK,C,85,96,97,180
1609,O0FBCB43009XXX,루키크로스바디 BLACK,B,39,17,96,230
1610,8809990340255,섬유유연제(유아용),A,7,83,51,154
1611,72SQ-0010101,72square 스타일 마스크 매쉬 블랙 L,B,97,69,19,279
1612,O1FBBC16130XXX,셀레나 버킷 VANILLA CREAM,B,39,17,86,237
1613,2021071401,우도땅콩새싹차,A,63,86,64,256
1614,7118409000040,평화형성질문카드,A,72,87,32,94
1615,1KSENV,스타아이드 키링(네이비),A,45,50,13,195
1616,8809133684932,길라 프리미엄 사프란 콜라겐,B,27,68,26,277
1617,SPIN_P,스핀아트_종이,B,54,38,84,61
1618,8809309727050,제이엠아르기닌4000,A,30,52,43,88
1619,8809375786487,십일장생 프로젝트(박스),C,11,48,64,161
1620,CMZ110557,깃털 창문 장난감,C,40,81,2,101
1621,0137-99,철제바구니,A,72,81,98,169
1622,80311010,중급한자2,B,75,69,6,164
1623,8809990340262,젖병세정제,C,16,60,85,184
1624,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,A,66,37,7,193
1625,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,C,21,66,51,75
1626,80311010,중급한자2,B,30,68,58,269
1627,10004220002,stripe wide pintuck pants-stripe-m,C,11,96,85,236
1628,10004220002,stripe wide pintuck pants-stripe-m,C,51,18,89,103
1629,8809375786487,십일장생 프로젝트(박스),A,39,65,61,288
1630,8809309727050,제이엠아르기닌4000,A,42,55,66,256
1631,O0FPAC11002XXX,금속체인 토트 스트랩,A,17,27,64,203
1632,O0FPAC11002XXX,금속체인 토트 스트랩,C,10,18,87,46
1633,8809563706105,KMC크린에이디비말마스크(50매),A,58,29,15,249
1634,8809079202863,제주 연꽃잎 샴푸 중건성 타입,C,6,68,44,90
1635,CMZ110090,수직스크래쳐,A,59,57,40,93
1636,O0FBCB43048XXX,루키크로스바디 CLOUD,A,8,66,90,40
1637,O0FBCB43004XXX,루키크로스바디 CREAM,C,90,51,13,155
1638,JJ-0002,프루낵 제주감귤칩스(100g),B,99,56,48,179
1639,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,A,13,11,62,51
1640,8809079204102,더퓨어로터스 제주 연꽃잎 & 동백 미스트,A,73,56,25,150
1641,O1FBBC37117XXX,리즈 버킷 MIST,C,70,62,3,174
1642,O0FPAC12008XXX,금속체인 토트 스트랩_GOLD,B,18,47,72,108
1643,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,B,61,42,85,246
1644,8809563706105,KMC크린에이디비말마스크(50매),A,64,62,60,119
1645,80311010,중급한자2,B,26,37,12,83
1646,5283022020804,Elegance Plus Hair Serum Coconut Oil 300ml,A,80,42,17,235
1647,erg_lucky_paint, 럭키박스_물감세트 ,B,34,11,22,23
1648,8809309727050,제이엠아르기닌4000,B,84,14,21,17
1649,2101FD050,옛새 피그드레스 오 드 퍼퓸 50ML,B,53,38,51,138
1650,10013420002,[TA221KT23P] color block cashmere knit-burgundy-1,B,25,26,70,14
1651,8809990325108,까미모 헤어로스 프로페셔널 샴푸,B,37,28,20,246
1652,2021071401,우도땅콩새싹차,B,70,65,91,172
1653,8809990414833,웨이브백 L 네이비,B,66,57,37,215
1654,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,C,30,89,81,251
1655,JJ-0002,프루낵 제주감귤칩스(100g),C,78,52,35,33
1656,8809491944891,길라 플럼핑 립 세럼 #03,A,23,59,40,120
1657,8809990340262,젖병세정제,C,71,85,42,98
1658,FULLSET01,full set (1.5kg*2+2kg*2+3kg*2),B,5,55,38,170
1659,GNGHRTR004-V01,고잉그레이 트리트먼트 에쉬로제,A,37,79,10,252
1660,802980111116,히말라야 핑크솔트,A,20,25,82,195
1661,8809990325108,까미모 헤어로스 프로페셔널 샴푸,A,95,15,73,226
1662,O2SBSD26130XXX,엘프나 숄더_VANILLA CREAM,B,23,88,30,259
1663,O0FPAC12008XXX,금속체인 토트 스트랩_GOLD,C,11,96,32,6
1664,O1FBCB20009XXX,엘레나 크로스바디_BLACK,A,80,12,21,82
1665,O0FBCB43141XXX,루키크로스바디 LEAF OLIVE,C,30,13,73,84
1666,80311010,중급한자2,C,58,3,76,150
1667,NBPD7F804W10265,"MRL247WR, (10), 265",A,55,99,52,233
1668,802980111154,히말라야 핑크솔트 300g,A,76,20,13,185
1669,8809563706105,KMC크린에이디비말마스크(50매),C,67,63,8,81
1670,0210SET1,"크림세트A-크림 3,비누 2,크림샘플 1",B,58,6,81,166
1671,8809614952635,더퓨어로터스 연꽃잎 마스크 주름개선 [1box/5ea],C,1,61,13,242
1672,8809614952635,더퓨어로터스 연꽃잎 마스크 주름개선 [1box/5ea],A,6,29,5,12
1673,8809614952635,더퓨어로터스 연꽃잎 마스크 주름개선 [1box/5ea],C,90,4,12,271
1674,O2SBTT38009XXX,아미나 미니 토트-BLACK,B,91,89,66,258
1675,O0FBCB43048XXX,루키크로스바디 CLOUD,C,90,96,62,48
1676,O9SBCB21009XXX,다이너 크로스바디 BLACK XXX,C,32,69,99,60
1677,O2SBSD51009XXX,달리 숄더_BLACK,B,97,29,53,227
1678,O1FBCL02009XXX,캐리 클러치 BLACK,B,4,56,64,25
1679,DEF000,블랙 플레이트 세트(5kg),C,53,90,87,135
1680,0114-02,캐칭환 꽐라프리 1봉지(50포),A,4,5,17,24
1681,DEF001,블랙 삼각 덤벨(1.5kg),A,18,5,74,210
1682,8809823070250,루트백팩 피넛,C,12,26,50,47
1683,O0FPAC11002XXX,금속체인 토트 스트랩,C,2,53,4,118
1684,O0FBSP38009XXX,제이미 N 쇼퍼BLACK,A,34,79,23,290
1685,O0FBCB43009XXX,루키크로스바디 BLACK,A,56,29,14,295
1686,O1FBBC37009XXX,리즈 버킷 BLACK,C,48,68,78,84
1687,8809653771129,에어퀸 네오마스크(2매)(라이트 코랄)[낱장피킹],C,28,11,93,188
1688,LSSS21B004SB,스위치백 크로커 샌드베이지,B,11,48,51,111
1689,8809393501161,프루낵 다크 초코 5개입,B,82,78,36,215
1690,GNGHRSP001-V01,고잉그레이 샴푸 하이 컬러,C,2,76,74,271
1691,Short Pants M-grey-S,반바지-그레이 컬러,A,57,17,14,135
1692,O9SBCB81009XXX,로티새들크로스바디 BLACK XXX,C,5,79,10,292
1693,O1FBTT31145XXX,조앤 토트-WAVE BLUE,B,79,20,14,116
1694,O1SBCB31136XXX,로즈버드 크로스바디 TANGERINE XXX,B,85,80,97,104
1695,O1SBCB31136XXX,로즈버드 크로스바디 TANGERINE XXX,B,33,56,1,205
1696,O0FBCB43009XXX,루키크로스바디 BLACK,C,17,4,5,285
1697,O0FBCB43009XXX,루키크로스바디 BLACK,A,62,84,49,36
1698,O0FBCB43009XXX,루키크로스바디 BLACK,A,12,46,13,292
1699,O0FBBP06009XXX,엘리백팩BLACK,A,81,55,28,141
1700,O1FBCB20009XXX,엘레나 크로스바디_BLACK,B,33,8,97,226
1701,2111DK000,옛새 디스커버리 키트(샘플),C,57,71,30,2
1702,8809079207219,더퓨어로터스 제주 보태니컬 선크림,A,34,68,75,235
1703,O8FBCB21009XXX,제라드 크로스바디 BLACK XXX,B,45,11,53,148
1704,O7SSSS01009240,헤리티지 스니커즈 BLACK 240,B,6,31,99,243
1705,O1SBSD10009XXX,미나 숄더 BLACK XXX,B,20,10,34,127
1706,10013420003,[TA221KT23P] color block cashmere knit-burgundy-2,B,82,74,40,75
1707,O1SBBC02009XXX,테일러버킷 BLACK,A,89,94,7,297
1708,O0FBCB43048XXX,루키크로스바디 CLOUD,B,65,44,2,78
1709,DEF000,블랙 플레이트 세트(5kg),C,14,69,6,219
1710,8809990325115,까미모 헤어로스 프로페셔널 워터 트리트먼트,A,99,90,11,241
1711,O7SSSS01009230,헤리티지 스니커즈 BLACK 230,B,33,32,2,66
1712,O2SBTT58048XXX,델라 토트_CLOUD,A,39,2,24,93
1713,O1SBTT42099XXX,소피아 토트 SKY BLUE,B,19,50,58,270
1714,O1SBTT42099XXX,소피아 토트 SKY BLUE,A,90,88,90,152
1715,O0FBCB43009XXX,루키크로스바디 BLACK,C,66,5,60,177
1716,2111DK000,옛새 디스커버리 키트(샘플),B,2,44,11,197
1717,8809309727050,제이엠아르기닌4000,B,68,45,40,244
1718,0159-006,모카 일반 스티커,C,22,55,29,169
1719,8809764510037,(1매) 프레쉬힐 KF94 마스크(새부리형/블랙),B,35,97,99,44
1720,0081008,PET BED-Green,B,76,54,29,115
1721,8809375786487,십일장생 프로젝트(박스),A,97,80,38,280
1722,8809563706105,KMC크린에이디비말마스크(50매),B,4,32,13,161
1723,0114-02,캐칭환 꽐라프리 1봉지(50포),A,82,10,51,251
1724,O9SBCB81150XXX,로티 새들 크로스바디+SPACE BLUE,A,44,82,65,25
1725,OCMSKTO001-V02,오캄 유자 하이드라 에센셜 토너,A,24,42,32,89
1726,10003720001,gingham simple pants-skyblue-s,C,7,9,12,106
1727,8809733530059,칠십이스퀘어핸드세니타이저겔(에탄올)-300ml,A,9,16,41,238
1728,7118409000057,갈등해결질문카드,C,52,7,43,179
1729,802980111116,히말라야 핑크솔트,B,80,67,89,175
1730,20HAOULYE,"[하울팟]아웃도어 하네스,L,엘로우",A,24,84,20,219
1731,8802863124518,제이엠마그네슘,A,4,46,75,50
1732,CMZ110540,"고양이 윈도우 해먹5 (끈2개,흡착판2개)",B,78,37,70,52
1733,72SQ-005030,안티포그 풀페이스,A,46,14,94,174
1734,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),A,17,98,26,147
1735,O2SGAC11118XXX,가죽 파우치_TOFFEE TAN,A,64,70,95,157
1736,2101NF011,옛새 누드인포그 오 드 퍼퓸 11ML,C,55,46,74,217
1737,7118409000224,사진카드(질문편),A,28,48,16,262
1738,8003753168128,캡슐커피: 일리 네스프레소 호환캡슐 디카페인,C,30,21,93,6
1739,7613036961707,스타벅스 콜롬비아 10캡슐,A,71,6,61,53
1740,900004,워터페인트 120ml 8색,C,65,90,94,32
1741,RM212S001WT240,RM212S001 WHITE,B,93,89,26,13
1742,GNGHRSP001-V01,고잉그레이 샴푸 하이 컬러,A,7,68,91,155
1743,2021071401,우도땅콩새싹차,C,94,14,74,272
1744,8003753142654,캡슐커피: 일리 캡슐 에티오피아 (18캡슐),B,9,77,80,76
1745,5727UUU-004A,"베르벨라파운데이션팩트AURORA,,,",A,59,99,64,298
1746,8809990340231,세탁세제(유아용-무향),C,77,83,51,273
1747,0114-02,캐칭환 꽐라프리 1봉지(50포),C,57,24,95,210
1748,7118409000231,토킹피스 빅벌새,C,58,81,78,117
1749,8809563706105,KMC크린에이디비말마스크(50매),C,51,9,18,124
1750,BL2103,버튼립스틱 07.퓨어코랄,B,83,46,28,109
1751,4100014111000,뚜레쥬르 파우더수납장,A,81,75,69,113
1752,0081005,PET BED-White,C,22,70,61,50
1753,0120-01,집게,B,96,10,30,139
1754,snfacvt06,사노핏 애플사이다비니거 포스트바이오틱스 6개월 분(1입),B,30,82,85,254
1755,8809764510037,(1매) 프레쉬힐 KF94 마스크(새부리형/블랙),C,27,89,36,129
1756,0137-99,철제바구니,B,21,91,24,236
1757,8809393500973,프루낵 제주감귤 20g X 5입,A,89,35,62,271
1758,8809990340262,젖병세정제,A,85,60,69,241
1759,Basic T/sh White-M,티셔츠-화이트 컬러,A,92,8,66,40
1760,80311010,중급한자2,B,74,8,82,200
1761,O1FBTT13004XXX,안나 미니 토트 CREAM,B,58,97,13,187
1762,O9FPAC07123XXX,클레어 스트랩 PARADISE XXX,B,80,1,46,9
1763,O1FBCB37048XXX,리사 크로스바디 CLOUD XXX,B,57,80,55,207
1764,900114,스핀아트 ,C,99,84,97,15
1765,7613036958981,스타벅스 카페 베로나 10캡슐,C,69,35,87,235
1766,O1FPCC04145XXX,티라 1단 카드케이스 WAVE BLUE,B,96,46,7,48
1767,O1SBCB01130XXX,테일러 글래드 크로스바디 VANILLA CREAM XXX,C,25,1,39,252
1768,O1FBCB37116XXX,리사 크로스바디 SHADOW YELLOW XXX,A,46,41,53,121
1769,8809563706105,KMC크린에이디비말마스크(50매),B,63,46,35,276
1770,0159-006,모카 일반 스티커,B,62,23,76,11
1771,8809738605509,드 메모리아 #03 그라나다 ,A,96,41,46,217
1772,8809309727050,제이엠아르기닌4000,B,23,57,43,235
1773,8809356270028,Mayu Cream  30ml(무향),B,28,91,78,246
1774,8809309727050,제이엠아르기닌4000,C,2,50,5,293
1775,8000070043206,원두커피: 2. 라바짜 골드셀렉션,B,53,2,17,48
1776,8809793590161,쓰리블랜드오일 미니 브라잇로지,A,5,83,24,184
1777,8809990340200,주방세제,C,98,91,12,137
1778,O2SBSD31009XXX,노아 숄더_BLACK,C,95,84,28,171
1779,O2SBTT58048XXX,델라 토트_CLOUD,A,73,98,39,263
1780,O1SBCB24009XXX,엘프나 크로스바디 BLACK XXX,A,2,80,71,97
1781,O1SPCC03009XXX,카림 카드케이스 BLACK XXX,A,96,79,34,86
1782,O1SBBC70009XXX,마들렌 버킷 BLACK XXX,B,77,88,5,176
1783,O0SBSP62009XXX,램지 L 쇼퍼 BLACK XXX,B,3,49,44,284
1784,O2SBCB54009XXX,헬렌 크로스바디_BLACK,A,21,1,63,67
1785,O1FBSD65130XXX,제너 숄더 VANILLA CREAM,C,2,60,8,162
1786,O1FBTT28139XXX,카일리 토트 FOSSIL TAUPE,C,65,63,12,105
1787,O1SBBC70130XXX,마틀렌 버킷 VANILLA CREAM XXX,B,47,23,6,129
1788,O9FPAC07123XXX,클레어 스트랩 PARADISE XXX,A,23,31,35,21
1789,O1FBCB01009XXX,캐리 크로스바디 BLACK,C,41,56,24,54
1790,9BDSKIT3,그란디디에 다즐링홍차 브라이트닝에센스25ML,B,88,86,76,298
1791,9BDSKIT3,그란디디에 다즐링홍차 브라이트닝에센스25ML,C,91,36,42,191
1792,8809738315583,유스바이오틱스 연꽃 발효 컨센트레이트 크림,C,20,71,30,90
1793,5727DUL-001A,"베르벨라커버아트파운데이션팩트포커버레벨3,피치,,20,G",B,55,46,9,154
1794,JJ-0002,프루낵 제주감귤칩스(100g),C,25,50,37,61
1795,8809375786487,십일장생 프로젝트(박스),A,96,20,31,141
1796,2111DK000,옛새 디스커버리 키트(샘플),C,69,71,94,134
1797,9BDSKIT2,그란디디에 다즐링홍차 설탕클렌징세럼 30ML,A,88,56,43,57
1798,8809764510020,(1매) 프리스틴 KF94 마스크(새부리형/화이트),A,31,39,36,286
1799,EVA_BOY,렛츠페인트 물감찍기 (남아용)하늘색,A,45,45,23,216
1800,ONF-SD-01,온 오어 오프 SD피규어-대형,B,43,31,44,96
1801,8809309727050,제이엠아르기닌4000,C,9,92,37,282
1802,CMZ110571,조개빗브라운,A,20,24,88,25
1803,7118409000057,갈등해결질문카드,B,38,36,98,210
1804,8809990325115,까미모 헤어로스 프로페셔널 워터 트리트먼트,C,58,91,23,211
1805,802980111116,히말라야 핑크솔트,A,19,11,47,294
1806,8809738603505,드 메모리아 #01 스펠로 ,A,52,91,29,135
1807,0120-01,집게,B,83,56,57,173
1808,CMZ110489,고양이 윈도우 해먹4,B,79,76,31,26
